 FILENAME FILTER PUPIL PATT_NUM NUMDTHPT XOFFSET YOFFSET
61 jw02079004001_02101_00001_nis_rate.fits CLEAR F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
50 jw02079004001_03101_00001_nis_rate.fits GR150R F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
55 jw02079004001_03101_00002_nis_rate.fits GR150R F115W 2 4 0.567703175636077 1.157199971328793
56 jw02079004001_03101_00003_nis_rate.fits GR150R F115W 3 4 -0.5677031968141756 -1.157199966130463
49 jw02079004001_04101_00001_nis_rate.fits CLEAR F115W 1 4 -0.5677031968141756 -1.157199966130463
53 jw02079004001_04101_00002_nis_rate.fits CLEAR F115W 2 4 0.1843011360666677 -1.358300010927835
57 jw02079004001_04101_00003_nis_rate.fits CLEAR F115W 3 4 -0.1100005793931548 -0.9286999942600341
65 jw02079004001_04101_00004_nis_rate.fits CLEAR F115W 4 4 0.5231029766891194 0.2941999729337063
62 jw02079004001_05101_00001_nis_rate.fits GR150C F115W 1 4 0.5231029766891194 0.2941999729337063
69 jw02079004001_05101_00002_nis_rate.fits GR150C F115W 2 4 1.090806139708378 1.451399949155603
63 jw02079004001_05101_00003_nis_rate.fits GR150C F115W 3 4 -0.04460020751474155 -0.8629999979646205
12 jw02079004001_06101_00001_nis_rate.fits CLEAR F115W 1 4 -0.04460020751474155 -0.8629999979646205
15 jw02079004001_06101_00002_nis_rate.fits CLEAR F115W 2 4 0.7074041233797782 -1.064100036193745
20 jw02079004001_06101_00003_nis_rate.fits CLEAR F115W 3 4 0.4131024057201933 -0.6345000221649078
41 jw02079004001_08101_00001_nis_rate.fits CLEAR F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
47 jw02079004001_09101_00001_nis_rate.fits GR150R F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
44 jw02079004001_09101_00002_nis_rate.fits GR150R F115W 2 4 0.567703175636077 1.157199971328793
43 jw02079004001_09101_00003_nis_rate.fits GR150R F115W 3 4 -0.5677031968141756 -1.157199966130463
59 jw02079004001_10101_00001_nis_rate.fits CLEAR F115W 1 4 -0.5677031968141756 -1.157199966130463
66 jw02079004001_10101_00002_nis_rate.fits CLEAR F115W 2 4 0.1843011360666677 -1.358300010927835
67 jw02079004001_10101_00003_nis_rate.fits CLEAR F115W 3 4 -0.1100005793931548 -0.9286999942600341
54 jw02079004001_10101_00004_nis_rate.fits CLEAR F115W 4 4 0.5231029766891194 0.2941999729337063
51 jw02079004001_11101_00001_nis_rate.fits GR150C F115W 1 4 0.5231029766891194 0.2941999729337063
58 jw02079004001_11101_00002_nis_rate.fits GR150C F115W 2 4 1.090806139708378 1.451399949155603
52 jw02079004001_11101_00003_nis_rate.fits GR150C F115W 3 4 -0.04460020751474155 -0.8629999979646205
1 jw02079004001_12101_00001_nis_rate.fits CLEAR F115W 1 4 -0.04460020751474155 -0.8629999979646205
7 jw02079004001_12101_00002_nis_rate.fits CLEAR F115W 2 4 0.7074041233797782 -1.064100036193745
10 jw02079004001_12101_00003_nis_rate.fits CLEAR F115W 3 4 0.4131024057201933 -0.6345000221649078
21 jw02079004002_02101_00001_nis_rate.fits CLEAR F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
31 jw02079004002_03101_00001_nis_rate.fits GR150R F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
37 jw02079004002_03101_00002_nis_rate.fits GR150R F115W 2 4 0.567703175636077 1.157199971328793
33 jw02079004002_03101_00003_nis_rate.fits GR150R F115W 3 4 -0.5677031968141756 -1.157199966130463
30 jw02079004002_04101_00001_nis_rate.fits CLEAR F115W 1 4 -0.5677031968141756 -1.157199966130463
36 jw02079004002_04101_00002_nis_rate.fits CLEAR F115W 2 4 0.1843011360666677 -1.358300010927835
34 jw02079004002_04101_00003_nis_rate.fits CLEAR F115W 3 4 -0.1100005793931548 -0.9286999942600341
27 jw02079004002_04101_00004_nis_rate.fits CLEAR F115W 4 4 0.5231029766891194 0.2941999729337063
22 jw02079004002_05101_00001_nis_rate.fits GR150C F115W 1 4 0.5231029766891194 0.2941999729337063
24 jw02079004002_05101_00002_nis_rate.fits GR150C F115W 2 4 1.090806139708378 1.451399949155603
28 jw02079004002_05101_00003_nis_rate.fits GR150C F115W 3 4 -0.04460020751474155 -0.8629999979646205
39 jw02079004002_06101_00001_nis_rate.fits CLEAR F115W 1 4 -0.04460020751474155 -0.8629999979646205
42 jw02079004002_06101_00002_nis_rate.fits CLEAR F115W 2 4 0.7074041233797782 -1.064100036193745
